redshift,dL_planck,erro_planck
0.64339,3991.8887550075115,29.683913878058668
0.4704,2510.442091891879,19.2019631810998
0.26338,1341.4624799256621,12.237925244716488
0.7424,4447.462612230475,36.281223878664555
0.91039,6878.644687607837,46.927654689047316
0.3374,1880.4510312608597,14.392392409860143
0.98339,4727.677945632308,41.169052958057115
0.81338,6066.471908006655,37.82017947468825
0.8174,5978.923366188043,42.023623622545095
0.96038,4765.218895271994,39.9789826395771
0.75639,6389.56081558584,38.40661856915843
0.87891,6973.706561901579,46.04973139197934
0.80991,4693.758204031294,35.116314494460035
0.62791,3657.5968887296467,25.643055383232767
0.93491,5608.259494703012,49.8678483316854
0.69791,4932.612072330086,32.32834170660497
0.76791,6932.491714279646,47.99385436112238
0.86491,5608.655481730608,41.17343717735075
0.51491,3219.344523769041,21.761535012196312
0.47091,3164.8371910036885,24.504248720214928
0.92891,7031.0884073276375,49.1486143115567
0.6312,3575.8267644319,26.04833229971701
0.6162,3660.075505298474,26.862881794189832
0.5652,3597.302628504767,26.210509756268177
0.55819,3383.220031754028,24.134437389804777
0.7362,4764.329013366447,36.443023152191714
0.2622,1317.7107708119952,12.992516154774947
0.7622,4649.63965751152,32.25552778748255
0.8592,7048.0219540201415,51.44056840586298
0.5592,3884.374169700846,29.975604008665144
0.48016,2810.554330033737,18.900421409255422
0.92116,4545.898227961847,43.133624699669426
0.47516,2777.9607951982766,19.140928603999
0.89216,6192.989137461817,45.58670553596524
0.63116,3015.2834708814207,25.799895531291813
0.73516,4266.89728508686,38.734099880755494
0.41816,2342.364076970336,18.774949289020707
0.53516,3105.0998604154706,25.884611904179376
0.73416,5189.589856491675,36.57802694668002
0.60916,3712.1612208191827,31.365444739010545
0.70116,4300.906408521732,32.77957737128004
0.98216,6513.865854598809,46.03324157273534
0.75816,5002.374277043489,35.150117092532845
0.64339,4088.4234242798234,36.52083221691074
0.51539,3436.2362877403457,35.76005641683002
0.80538,5685.454088667917,36.66767939019028
0.80039,3437.009063920908,28.520491855873576
0.71538,4429.563114438103,33.26178207038236
0.76639,4997.484747479526,39.41603371295165
0.90139,7224.220121960548,45.59994427013392
0.71839,4646.277228459892,29.629899774804237
0.57938,3465.55075708276,24.42071844006954
0.96038,8174.412623375137,45.409835089187425
0.64839,3559.3889391541256,26.078345352970803
0.93639,5882.254899721032,37.886355442144314
0.46138,2798.932669846968,18.562529197564647
0.67039,4172.223129191908,36.25407378038999
0.24639,1347.1593497667734,14.241305976031686
0.63892,3553.1948388071323,34.65503646247011
0.53591,3471.0991554309594,21.881471047117525
0.77391,5946.091834955387,42.39506374577365
0.37091,2110.9181885740168,14.845107448980514
0.69992,5098.403821256873,34.83569557888349
0.37391,2168.3103691001447,16.260793545617698
0.85391,4969.521709214549,36.013369474183264
0.60392,4008.43427801379,27.53627879002334
0.53491,2906.0613331851146,21.761253574212606
0.40091,2212.5088773092916,16.85000747869677
0.37191,2151.5960177500174,15.633726836839603
0.84091,4332.595223391007,44.69249841096831
0.53216,3237.8649612185495,25.229531246790266
0.93116,5258.755679386651,56.65053990857459
0.55316,3516.4303744390504,29.84524411309873
0.84116,5779.409485020369,51.18413607702691
