redshift,dL_riess,erro_riess
0.08784,393.6249232506904,8.7832862715904
0.08504,389.2967821323971,8.269417956665977
0.19009,987.409971020958,14.659372365371032
0.09227,423.00970707281266,8.268018705305025
0.12903,584.687445951566,10.629546376787863
0.26166,1262.9937148284746,20.71287560506332
0.26162,1594.4445454941438,25.088773120895954
0.19422,913.8205173936879,15.536642921285042
0.14703,706.0904733734263,10.369618078618098
0.21179,1120.391366699204,21.210195378145862
0.17958,802.949213347712,12.240244044882646
0.19029,998.0404015669438,15.121439643094291
0.3388,1919.6011187508566,29.491993440161906
0.11741,544.8029907960652,8.61356931190184
0.2889,1452.2987421094151,23.464520339785224
0.26405,1244.313982016197,19.914807670064967
0.24961,1450.1583660344468,20.223086535386347
0.22967,1111.0464516319425,15.834694139698172
0.08543,379.6936320969795,6.53575436292061
0.27656,1366.0639386311614,23.999957078991926
0.36193,1820.667878914547,30.376312083600723
0.30021,1409.9769191477783,23.79499359529617
0.11635,545.3596527725794,8.904658087485377
0.15492,772.78434781203,11.587759942896003
0.25037,1376.0618888543654,20.485491218994326
0.25174,1187.1398232573115,17.032167701500462
0.12928,573.6705060765928,9.283555128292322
0.30929,1671.1572754183728,30.081739177622737
0.29888,1662.7088791555545,28.21411046192548
0.27091,1238.0183587356012,24.802373483744724
0.29353,1390.3945402098252,24.366709963843135
0.18979,844.9792660585508,15.323320162441318
0.12376,542.0305915780184,8.79199279717972
0.31288,1560.211655653171,24.869047177151582
0.30915,1719.725676035109,27.196437009823082
0.20267,923.686533742642,16.24263784393258
0.21163,925.1916987839002,13.311700306907575
0.1789,847.8133563322024,14.011498868687292
0.30354,1458.3083384469762,24.54342805119812
0.21457,1061.075892913139,15.760049360625164
0.32045,1754.5770158406528,25.986990203033873
0.21835,1062.7659147049064,17.340924108465796
0.07489,327.0451678528659,6.322196731528679
0.2576,1250.9391867843665,20.555945020018775
0.18468,781.6827509673475,14.07580672598639
0.11628,518.6625418514312,9.053689021498196
0.06426,270.7764806833747,6.733819163141145
0.10288,497.26092604462696,8.887829770591877
0.04397,173.56614174229907,6.820144771745629
0.16595,674.958554716211,12.59771948996561
0.16817,734.7481092204231,13.797196956764468
0.17063,722.1814950349282,13.341096793488443
0.12042,563.215663407273,10.059408574262973
0.13868,651.4617949699377,13.698924117861909
0.2338,1164.415630440994,20.78867242676751
0.24643,1124.8431263858274,19.53606083337572
0.22286,1153.3966851062492,20.58234502778139
0.17915,788.5123503083486,14.054923882578697
0.19718,1001.9440322187028,14.866678932949046
0.22916,1103.6864234879356,18.103723392653063
0.26451,1350.347476855058,24.903170650688512
0.10337,482.2874067341397,7.852769379494044
0.21338,1018.9800988274488,15.4965098822257
0.15653,695.4300941718237,10.595504901650541
0.2434,1116.687980105903,21.599852791507626
0.23652,1286.204165041818,20.4020484946774
0.20852,996.3519593741916,15.295056388963816
0.25104,1167.655620418875,21.808464920144676
0.22534,1137.2414406408564,17.216627107222184
0.28742,1636.514267734973,22.76512131465993
0.32984,1548.617832914706,25.362568413550527
